36,5,8,-10,30,-17,-29,11,41,-42,-26
-4077,-3,0,-8,-37,30,-35,37,46,-7,-58
8176,0,-14,18,-25,-41,-33,-22,66,-34,56
2190,2,3,20,7,-43,-52,46,26,-38,1
-10938,4,-10,23,-14,40,-50,19,6,-29,-88
-856,2,9,-28,-8,-42,42,-19,-19,76,-35
5703,3,4,-25,-16,-35,-13,30,69,-47,16
6923,0,-9,3,7,14,37,-60,-62,72,94
-3628,7,-17,30,-30,22,13,20,48,-67,-31
-2882,-9,-11,-13,16,49,34,43,-17,-33,-13
8054,3,-16,-19,-3,41,23,-7,-13,16,92
12856,-10,-5,-30,5,-3,-42,-40,56,77,69
-9442,6,11,26,-14,11,13,-54,-5,15,-76
12577,-10,-20,-19,-37,-13,58,59,60,-44,91
-10099,2,-19,-13,17,-21,-57,25,-66,41,-87
5953,8,-5,-27,25,-4,-41,36,28,-48,43
-771,-3,-6,-21,-38,13,-51,38,-77,-57,68
9463,-5,-1,-25,-8,-17,34,10,26,-83,98
-7231,3,13,27,6,40,-50,-43,-38,35,-37
-1310,-8,-11,-16,-32,47,-6,6,-44,86,1
-2106,-8,15,10,30,41,-44,-64,1,-21,4
1375,-4,-20,-10,-24,-8,-17,-42,28,21,1
-7256,-8,-15,-23,0,0,35,-21,36,-89,-65
-8628,2,-13,13,36,30,32,-63,-44,53,-67
-4392,9,2,-12,37,17,22,67,49,-38,-84
6641,0,-15,18,-27,-1,-40,-31,57,14,43
10747,-1,-6,-1,37,-22,7,39,-9,-27,98
6837,-4,2,-3,10,-46,-3,-10,-15,86,34
-894,-10,-14,16,-38,-40,33,-65,-47,-5,36
-1907,-1,8,23,6,-2,41,-27,-67,84,-3
-4811,-2,-7,-25,-26,41,-23,-49,31,80,-71
3280,6,-11,-24,12,35,23,-28,74,-73,19
972,5,-1,-4,-8,-9,-39,23,14,61,-24
6025,0,17,-14,-2,23,-28,17,47,-51,51
-435,6,4,-21,32,-2,-34,42,10,-34,-17
5783,-1,-12,1,-4,-44,25,-15,-47,-46,96
-7588,2,1,-15,-23,19,-31,12,-41,0,-41
5410,7,-9,-18,-6,-3,20,39,-1,-32,56
7861,10,-14,-27,36,16,-28,36,51,40,17
-2370,-6,4,-3,3,-4,58,-51,-23,84,-35
-4940,-2,-13,-5,16,10,28,-15,-33,6,-32
-9781,-8,0,30,12,39,7,-59,6,-38,-67
3179,4,19,-1,19,39,32,-9,-8,73,15
-1280,-2,1,7,-32,-33,-53,-4,-46,-34,34
4888,-8,-17,-13,34,-24,12,-19,-71,57,59
11521,-3,-5,28,21,32,12,63,71,-59,82
4551,-4,-5,-23,11,32,-35,-46,-33,72,54
-3975,8,-12,10,11,-43,56,3,53,-69,-65
-1705,9,19,-20,0,24,-1,23,72,84,-94
-8493,-6,19,-2,2,-23,-60,-41,-7,65,-99
-11245,3,10,-14,-29,-49,33,-32,-49,-81,-53
6677,3,-5,20,21,16,-50,-23,-1,-9,79
5939,-1,-19,-19,37,-5,47,4,16,-41,46
7803,7,16,14,22,3,19,-40,11,-67,99
-11279,-5,18,9,-40,-41,-47,-14,-62,86,-97
847,-2,2,-21,-8,38,22,16,55,-49,-5
-8870,-10,18,-7,-28,46,-53,41,-36,59,-75
7383,10,10,-15,13,-32,-17,-60,71,-30,40
-5517,3,-9,19,19,-6,-5,19,-8,77,-86
-7418,3,-14,23,-2,-1,9,19,-64,-13,-30
-3120,8,19,19,0,-30,-9,-47,38,-33,-38
7002,-3,13,-5,-12,-45,-22,11,45,-30,42
14864,-2,4,-5,-34,20,50,31,65,50,93
4423,8,16,1,-3,-29,-12,-45,-35,86,40
-8612,1,13,-4,-18,10,-22,24,-77,87,-65
-2266,-4,-15,19,-36,-21,47,-36,18,-36,-10
2442,-8,-8,15,10,40,13,-23,49,42,-10
